group_type,group_name,case_count,family_exact_accuracy,family_top3_accuracy,asset_accuracy_mean,grounding_overlap_mean,grounding_pass_strict_rate,grounding_pass_partial_rate,action_relevance_mean,unsupported_claim_rate,strict_operator_support_pass_rate,operator_support_score_mean
overall,all,155,0.7741935483870968,0.8838709677419355,0.267741935483871,0.25764976958525343,0.14838709677419354,0.7548387096774194,0.7580645161290323,0.05161290322580645,0.08387096774193549,0.5994331797235024
detector,autoencoder,29,0.896551724137931,0.9310344827586207,0.27586206896551724,0.25262725779967155,0.13793103448275862,0.7586206896551724,0.8103448275862069,0.0,0.10344827586206896,0.6513875205254515
detector,gru,28,0.8928571428571429,0.9285714285714286,0.26785714285714285,0.2578231292517007,0.14285714285714285,0.75,0.7857142857142857,0.03571428571428571,0.10714285714285714,0.6462074829931972
detector,isolation_forest,27,0.2222222222222222,0.7037037037037037,0.2222222222222222,0.2649911816578483,0.18518518518518517,0.7037037037037037,0.5555555555555556,0.25925925925925924,0.0,0.3696649029982363
detector,lstm,29,0.896551724137931,0.9310344827586207,0.27586206896551724,0.25262725779967155,0.13793103448275862,0.7586206896551724,0.8103448275862069,0.0,0.10344827586206896,0.6513875205254515
detector,threshold_baseline,15,0.8,0.8666666666666667,0.26666666666666666,0.2706349206349206,0.13333333333333333,0.8666666666666667,0.7333333333333333,0.0,0.06666666666666667,0.6074603174603174
detector,transformer,27,0.9259259259259259,0.9259259259259259,0.2962962962962963,0.2537037037037037,0.14814814814814814,0.7407407407407407,0.8333333333333334,0.0,0.1111111111111111,0.6646296296296295
generator_source,chatgpt,43,0.7441860465116279,0.8372093023255814,0.13953488372093023,0.1998892580287929,0.046511627906976744,0.627906976744186,0.872093023255814,0.06976744186046512,0.0,0.5486987818383169
generator_source,claude,36,0.8611111111111112,0.9722222222222222,0.2222222222222222,0.1876984126984127,0.027777777777777776,0.8333333333333334,0.7361111111111112,0.05555555555555555,0.0,0.6187896825396826
generator_source,gemini,29,0.896551724137931,0.9310344827586207,0.25862068965517243,0.3591954022988506,0.1724137931034483,0.8275862068965517,0.7413793103448276,0.0,0.13793103448275862,0.6658045977011494
generator_source,grok,47,0.6595744680851063,0.8297872340425532,0.425531914893617,0.30141843971631205,0.3191489361702128,0.7659574468085106,0.6808510638297872,0.06382978723404255,0.19148936170212766,0.5900709219858157
