phase,original_box,safe_box_text,status,evidence,safe_wording
Phase 1,Generate DER Grid Data,Generate DER grid and clean simulation data,fully implemented,"Clean OpenDSS, measured, cyber, and window artifacts under outputs/clean and outputs/window_size_study.",IEEE 123-bus DER simulation produces clean physical and cyber baseline data.
Phase 1,"System Modeling IEEE 123 Bus + DER (PV, BESS)",IEEE 123-bus feeder with PV/BESS assets,fully implemented,OpenDSS feeder and DER overlays are present under opendss and Phase 1 code.,The study uses an IEEE 123-bus feeder with simulated PV and BESS assets.
Phase 1,"Normal Data Generation OpenDSS Simulation (Voltage, Current, Power, SOC, Temp)",Clean OpenDSS simulation and measured telemetry,fully implemented,Clean truth/measured/cyber datasets and training-input audit.,Clean physical and measured telemetry is generated and windowed for model inputs.
Phase 1,Data Preprocessing Cleaning + Feature Engineering,"Windowing, cleaning, and feature engineering",fully implemented,phase1_training_input_inventory.csv and window-size study artifacts.,Raw time series are transformed into model-ready windows and aligned residual features.
Phase 1,Missing from diagram,Residual / deviation feature layer,fully implemented,Residual windows used by canonical benchmark and heldout replay.,Detector inputs include aligned residual/deviation features between attacked and clean windows.
Phase 1,"Baseline Models ML Models (LSTM, Autoencoder, Isolation Forest)","Detector benchmark models: threshold, Isolation Forest, MLP autoencoder, GRU, LSTM, Transformer",fully implemented,phase1_window_model_comparison_full.csv,"The canonical benchmark compares threshold, Isolation Forest, MLP autoencoder, GRU, LSTM, and Transformer detectors."
Phase 1,LLM Analysis Context Learning of Normal Behavior,Tokenized sequence baseline and context artifacts,partially implemented,"Token baseline and explanation/context artifacts exist, but no large LLM learns normal behavior as the detector.",Context artifacts and a tokenized baseline support analysis; do not claim an LLM learned normal behavior as the main detector.
Phase 1,"Model Evaluation Reconstruction Loss, Threshold, Accuracy","Benchmark evaluation: precision, recall, F1, latency, false positive rate",fully implemented,phase1_window_model_comparison_full.csv,"Model selection uses precision, recall, F1, latency, and related detector metrics."
Phase 2,LLM Scenario Generator Synthetic Anomaly / Zero-day Style,Schema-bound synthetic scenario generation,fully implemented,Canonical and heldout Phase 2 bundles plus validation reports.,Synthetic scenario JSON bundles are generated and validated under a bounded schema.
Phase 2,Validation Layer Physics + Safety Constraints Check,"Physics, schema, and safety validation",fully implemented,phase2_scenario_master_inventory.csv and phase2_coverage_summary.md,"Scenarios are accepted, rejected, or repaired using schema and physics-aware validation."
Phase 2,Quality Check Plausibility + Diversity + Metadata,"Coverage, diversity, and difficulty audit",fully implemented,phase2_diversity_and_quality_report.md and related figures.,"Phase 2 includes coverage, diversity, metadata, and difficulty calibration audits."
Phase 3,Unified Dataset Normal + Attack Data,"Unified clean, attacked, and residual evaluation datasets",fully implemented,Window-size study and heldout replay artifacts.,Phase 3 evaluates frozen detectors on canonical and heldout synthetic residual windows.
Phase 3,Missing from diagram,Model training: normal-only and supervised detector branches,fully implemented,"Canonical benchmark includes supervised sequence classifiers, unsupervised/baseline detectors, and normal-only TTM extension.",Detector training includes supervised benchmark models and normal-only extension branches where applicable.
Phase 3,Model Training ML Models + Tiny LLM (LoRA),Canonical detector training plus separate LoRA explanation extension,partially implemented,Canonical detectors complete; LoRA exists as weak experimental explanation/classification branch.,LoRA is experimental and separate from the canonical detector benchmark.
Phase 3,Human-like Explanation LLM Generates Root Cause Analysis,Grounded operator-facing explanation support,partially implemented,xai_final_validation_report.md,Use grounded post-alert explanation support; do not claim human-like root-cause analysis.
Phase 3,"Evaluation Metrics F1, Precision, Recall, AOI",Detector metrics plus separate explanation-grounding metrics,partially implemented,Detector metrics exist; AOI is not implemented as detector metric.,"Report precision, recall, F1, latency, false positive rate, and separate XAI grounding metrics. Do not claim AOI."
Phase 3,Missing from diagram,"Context separation: benchmark, replay, heldout synthetic zero-day-like, extensions",fully implemented,FINAL_MODEL_CONTEXT_COMPARISON.csv and MODEL_WINDOW_ZERO_DAY_SAFE_CLAIMS.md,"Keep canonical benchmark, replay, heldout synthetic zero-day-like evaluation, and extensions separate."
Phase 3,Deployment Vision Lightweight Edge AI for DER,Offline lightweight deployment benchmark,partially implemented,deployment_benchmark_report.md,Report offline workstation deployment benchmark only; do not claim field edge deployment.
