original_name,publishable_name,context,normalization_action,notes
phase1_window_model_comparison_full.csv,artifacts/benchmark/phase1_window_model_comparison_full.csv,canonical_benchmark,mirrored,Full detector benchmark window/model comparison.
phase1_window_model_comparison_full.md,docs/reports/phase1_window_model_comparison_full.md,canonical_benchmark,mirrored,Readable detector benchmark report.
phase1_window_comparison_5s_10s_60s_300s.png,docs/figures/phase1_window_comparison_5s_10s_60s_300s.png,canonical_benchmark,mirrored,Benchmark F1 by window.
phase1_model_vs_window_heatmap.png,docs/figures/phase1_model_vs_window_heatmap.png,canonical_benchmark,mirrored,Benchmark model/window heatmap.
benchmark_vs_replay_metrics.csv,artifacts/replay/benchmark_vs_replay_metrics.csv,heldout_replay,mirrored,Benchmark vs replay separation metrics.
multi_model_heldout_metrics.csv,artifacts/replay/multi_model_heldout_metrics.csv,heldout_replay,mirrored,Existing frozen-candidate replay metrics.
zero_day_model_window_results_full.csv,artifacts/zero_day_like/zero_day_model_window_results_full.csv,heldout_synthetic_zero_day_like,mirrored,Heldout synthetic detector matrix.
zero_day_model_window_results_full.md,docs/reports/zero_day_model_window_results_full.md,heldout_synthetic_zero_day_like,mirrored,Heldout synthetic detector report.
zero_day_model_window_heatmap.png,docs/figures/zero_day_model_window_heatmap.png,heldout_synthetic_zero_day_like,mirrored,Heldout synthetic heatmap.
phase1_ttm_results.csv,artifacts/extensions/phase1_ttm_results.csv,extension_ttm,mirrored,TTM 60s extension benchmark result.
phase1_ttm_eval_report.md,docs/reports/phase1_ttm_eval_report.md,extension_ttm,mirrored,TTM extension report.
phase3_lora_results.csv,artifacts/extensions/phase3_lora_results.csv,extension_lora,mirrored,LoRA experimental result.
phase3_lora_eval_report.md,docs/reports/phase3_lora_eval_report.md,extension_lora,mirrored,LoRA extension report.
xai_case_level_audit.csv,artifacts/xai/xai_case_level_audit.csv,xai,mirrored,Case-level explanation audit.
xai_final_validation_report.md,docs/reports/xai_final_validation_report.md,xai,mirrored,Final XAI validation report.
deployment_benchmark_results.csv,artifacts/deployment/deployment_benchmark_results.csv,deployment,mirrored,Offline deployment benchmark metrics.
deployment_benchmark_report.md,docs/reports/deployment_benchmark_report.md,deployment,mirrored,Offline deployment report.
FINAL_MODEL_CONTEXT_COMPARISON.csv,artifacts/zero_day_like/FINAL_MODEL_CONTEXT_COMPARISON.csv,cross_context,mirrored,Context-separated model comparison.
FINAL_MODEL_CONTEXT_COMPARISON.md,docs/reports/FINAL_MODEL_CONTEXT_COMPARISON.md,cross_context,mirrored,Context-separated model comparison report.
