window_label,window_seconds,step_seconds,model_name,status,training_time_seconds,parameter_count,feature_count,seq_len
5s,5,1,threshold_baseline,completed,0.0,64,32,
5s,5,1,isolation_forest,completed,1.0408982000080869,39900,32,
5s,5,1,autoencoder,completed,45.81101489999856,10448,64,
5s,5,1,gru,completed,25.957302000009804,31169,96,4.0
5s,5,1,lstm,completed,25.84884299999976,49729,128,4.0
5s,5,1,transformer,completed,66.67140350000045,69121,32,4.0
5s,5,1,llm_baseline,completed,31.488110599999345,1601,128,4.0
10s,10,2,threshold_baseline,completed,0.0,256,128,
10s,10,2,isolation_forest,completed,0.7720649000002595,44100,32,
10s,10,2,autoencoder,completed,13.733395800001745,3184,32,
10s,10,2,gru,completed,11.819480199999816,25025,64,4.0
10s,10,2,lstm,completed,13.578210700001364,41537,96,8.0
10s,10,2,transformer,completed,51.15938409999944,69121,32,4.0
10s,10,2,llm_baseline,completed,44.39260909999939,1601,64,8.0
60s,60,12,threshold_baseline,completed,0.0,128,64,
60s,60,12,isolation_forest,completed,0.4665468000021064,36300,32,
60s,60,12,autoencoder,completed,2.238981699996657,10448,64,
60s,60,12,gru,completed,4.226721299997735,25025,64,12.0
60s,60,12,lstm,completed,5.044173299997055,49729,128,12.0
60s,60,12,transformer,completed,9.523059599996486,71169,64,12.0
60s,60,12,llm_baseline,completed,7.55015160000039,1601,64,12.0
300s,300,60,threshold_baseline,completed,0.0,192,96,
300s,300,60,isolation_forest,completed,0.6494552999938605,24300,32,
300s,300,60,autoencoder,completed,0.805199199996423,3184,32,
300s,300,60,gru,completed,1.1864958000078332,18881,32,4.0
300s,300,60,lstm,completed,1.0072893000033218,25153,32,4.0
300s,300,60,transformer,completed,4.318060799996601,69121,32,4.0
300s,300,60,llm_baseline,completed,1.112148599990178,1601,128,4.0
